    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1220 root      20   0  353000  28848  20712 S   0.9   0.1   0:52.49 sssd_be
 253950 nathan37  20   0 1394.1g 214072 136632 S   0.7   0.9   0:10.91 code
 254532 nathan37  20   0 1409.9g 118532  81720 S   0.6   0.5   0:08.50 code
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.72 /opt/saltstack/
 249456 nathan37  20   0  712792  54516  39504 S   0.3   0.2   0:18.19 gnome-terminal-
      1 root      20   0  176612  19328  11352 S   0.2   0.1   2:08.23 systemd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 331432 setroub+  25   5  548036  90076  23312 S  99.4   0.4   0:13.45 setroubleshootd
 331537 nathan37  20   0 1675720 941876 512404 S  75.2   3.9   0:08.30 vivado
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:03.17 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:44.49 htop
 248687 nathan37  20   0 6492060 361956 145908 S   4.7   1.5   5:00.19 gnome-shell
 254147 nathan37  20   0   33.1g 265708 159952 S   2.7   1.1   3:29.46 code
 248116 nathan37  20   0 4183092 194860  62144 S   1.7   0.8   2:11.27 Xorg
 254213 nathan37  20   0 1394.2g 462388 190844 S   1.2   1.9   1:11.10 code
   1076 root      20   0 2694144 668368 347620 S   1.1   2.7  11:47.80 falcon-sensor-b
   1337 fastx     20   0   11.0g 199444  36612 S   0.5   0.8   3:30.51 fastx3
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.77 /opt/saltstack/
   1920 zabbix    20   0 2436588  36248  19576 S   0.4   0.1   1:38.65 zabbix_agent2
 249456 nathan37  20   0  712792  54536  39504 S   0.3   0.2   0:18.22 gnome-terminal-
 254532 nathan37  20   0 1409.9g 118584  81720 S   0.3   0.5   0:08.53 code
   1375 root      20   0  908576  23576  11516 S   0.2   0.1   0:27.17 fail2ban-server
 198136 root      20   0       0      0      0 I   0.2   0.0   0:00.95 kworker/u518:4-fscache
 265512 root      20   0       0      0      0 I   0.2   0.0   0:00.34 kworker/u518:1-events_unbound
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 266464 160680 S  20.2   1.1   3:31.48 code
 331432 setroub+  25   5  549572  91676  23312 S  16.8   0.4   0:15.13 setroubleshootd
 248687 nathan37  20   0 6492060 361956 145908 S  12.9   1.5   5:01.48 gnome-shell
 296021 nathan37  20   0  235160   7468   4380 R   6.6   0.0   1:45.15 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   1:03.76 htop
 254213 nathan37  20   0 1394.2g 466676 191680 S   3.9   1.9   1:11.49 code
 331537 nathan37  20   0 1675720 942960 513468 S   3.9   3.9   0:08.69 vivado
 248116 nathan37  20   0 4183092 194860  62144 S   3.7   0.8   2:11.64 Xorg
   1076 root      20   0 2694144 668432 347620 S   0.9   2.7  11:47.89 falcon-sensor-b
   1337 fastx     20   0   11.0g 199076  36612 S   0.7   0.8   3:30.58 fastx3
   1639 splunkf+  20   0  429724 214988  66792 S   0.5   0.9   1:29.29 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.82 /opt/saltstack/
 253950 nathan37  20   0 1394.1g 214264 136632 S   0.5   0.9   0:10.96 code
 254532 nathan37  20   0 1409.9g 119064  81720 S   0.4   0.5   0:08.57 code
 249456 nathan37  20   0  712888  54508  39504 S   0.3   0.2   0:18.25 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.70 top
   1920 zabbix    20   0 2436588  37644  19576 S   0.2   0.2   1:38.67 zabbix_agent2
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361956 145908 S  13.3   1.5   5:02.82 gnome-shell
 254147 nathan37  20   0   33.1g 268900 162920 S   9.8   1.1   3:32.46 code
 331963 root      20   0  437432  59372  17936 S   9.8   0.2   0:00.98 SetroubleshootP
 308004 nathan37  20   0  235136   7468   4360 S   7.1   0.0   1:04.47 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.6   0.0   1:45.81 htop
   1076 root      20   0 2694144 668672 347620 S   4.4   2.8  11:48.33 falcon-sensor-b
 248115 nathan37  20   0  319260  93788   6072 S   4.2   0.4   0:24.95 FastX monitor 1
 248116 nathan37  20   0 4183092 194860  62144 S   3.7   0.8   2:12.01 Xorg
   1337 fastx     20   0   11.0g 199904  36612 S   3.5   0.8   3:30.93 fastx3
 254213 nathan37  20   0 1394.2g 470756 193812 S   3.2   1.9   1:11.81 code
      1 root      20   0  176612  19328  11352 S   1.6   0.1   2:08.39 systemd
 331432 setroub+  25   5  550100  93444  23312 S   0.8   0.4   0:15.21 setroubleshootd
   1639 splunkf+  20   0  429724 214736  66792 S   0.5   0.9   1:29.34 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.87 /opt/saltstack/
 254532 nathan37  20   0 1409.9g 118644  81720 S   0.5   0.5   0:08.62 code
   1143 dbus      20   0    8436   6272   2564 S   0.4   0.0   0:33.30 dbus-broker
 249456 nathan37  20   0  712632  54244  39504 S   0.4   0.2   0:18.29 gnome-terminal-
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361976 145908 S  27.6   1.5   5:05.59 gnome-shell
 248116 nathan37  20   0 4183092 194876  62144 S   7.2   0.8   2:12.73 Xorg
 254213 nathan37  20   0 1394.2g 467148 194912 S   6.4   1.9   1:12.45 code
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:05.08 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:46.41 htop
 254147 nathan37  20   0   33.1g 269752 163604 S   4.0   1.1   3:32.86 code
 249456 nathan37  20   0  713144  54864  39504 S   1.2   0.2   0:18.41 gnome-terminal-
   1337 fastx     20   0   11.0g 200272  36612 S   1.1   0.8   3:31.04 fastx3
   1076 root      20   0 2694144 668556 347620 S   0.9   2.8  11:48.42 falcon-sensor-b
   1639 splunkf+  20   0  429724 214332  66792 S   0.8   0.9   1:29.42 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.92 /opt/saltstack/
 253950 nathan37  20   0 1394.1g 212440 136680 S   0.4   0.9   0:11.02 code
   1920 zabbix    20   0 2436588  36256  19576 S   0.2   0.1   1:38.72 zabbix_agent2
 254532 nathan37  20   0 1409.9g 118596  81720 S   0.2   0.5   0:08.64 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.38 rcu_preempt
   1401 root      20   0  173236  14400  12980 S   0.1   0.1   0:02.95 rsyslogd
   1670 apache    20   0 2442880   8428   4476 S   0.1   0.0   0:06.82 httpd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361976 145908 S  10.3   1.5   5:06.62 gnome-shell
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:05.69 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:47.00 htop
 248116 nathan37  20   0 4183092 194876  62144 S   5.0   0.8   2:13.23 Xorg
   1337 fastx     20   0   11.0g 199488  36612 S   3.5   0.8   3:31.39 fastx3
 249456 nathan37  20   0  713144  54884  39504 S   1.2   0.2   0:18.53 gnome-terminal-
   1076 root      20   0 2694144 668540 347620 S   0.5   2.8  11:48.47 falcon-sensor-b
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:10.97 /opt/saltstack/
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.76 top
   1168 root      20   0  460996  12516   8020 S   0.2   0.1   0:28.98 vmtoolsd
   1920 zabbix    20   0 2436588  36780  19576 S   0.2   0.2   1:38.74 zabbix_agent2
     45 root      20   0       0      0      0 S   0.1   0.0   0:00.41 ksoftirqd/4
   1361 root      20   0  484784  30416  16088 S   0.1   0.1   0:06.57 tuned
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.19 fail2ban-server
   1639 splunkf+  20   0  429724 214320  66792 S   0.1   0.9   1:29.43 splunkd
 248737 nathan37  20   0  536736  12828   7112 S   0.1   0.1   0:00.70 ibus-daemon
 248939 nathan37  20   0  604312  13004  10800 S   0.1   0.1   0:00.21 gsd-smartcard
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361996 145908 S  31.7   1.5   5:09.80 gnome-shell
 332820 root      20   0  437696  59740  18024 S  10.0   0.2   0:01.00 SetroubleshootP
 332795 setroub+  25   5  544708  85948  23244 S   8.6   0.4   0:00.86 setroubleshootd
 248116 nathan37  20   0 4183092 194880  62148 S   8.4   0.8   2:14.07 Xorg
 296021 nathan37  20   0  235160   7468   4380 R   6.4   0.0   1:47.64 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.0   0.0   1:06.19 htop
 254147 nathan37  20   0   33.1g 269036 163076 S   4.4   1.1   3:33.30 code
 254213 nathan37  20   0 1394.2g 467328 194624 S   4.1   1.9   1:12.86 code
   1337 fastx     20   0   11.0g 202460  36612 S   3.9   0.8   3:31.78 fastx3
 248115 nathan37  20   0  319260  93788   6072 S   3.8   0.4   0:25.33 FastX monitor 1
   1076 root      20   0 2694144 668700 347620 S   2.0   2.8  11:48.67 falcon-sensor-b
 249456 nathan37  20   0  713016  54636  39508 S   1.5   0.2   0:18.68 gnome-terminal-
 253950 nathan37  20   0 1394.1g 212520 136680 S   0.6   0.9   0:11.09 code
   1639 splunkf+  20   0  429724 214916  66792 S   0.5   0.9   1:29.48 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.02 /opt/saltstack/
 254532 nathan37  20   0 1409.9g 118600  81720 S   0.3   0.5   0:08.68 code
      1 root      20   0  176612  19328  11352 S   0.2   0.1   2:08.41 systemd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 267088 161116 S  19.0   1.1   3:35.21 code
 248687 nathan37  20   0 6492060 361996 145908 S   9.5   1.5   5:10.75 gnome-shell
 296021 nathan37  20   0  235160   7468   4380 S   6.8   0.0   1:48.32 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:06.80 htop
 254213 nathan37  20   0 1394.2g 467804 192208 S   4.0   1.9   1:13.26 code
 248116 nathan37  20   0 4183092 194880  62148 S   3.1   0.8   2:14.38 Xorg
   1076 root      20   0 2694144 668556 347620 S   0.9   2.8  11:48.76 falcon-sensor-b
   1337 fastx     20   0   11.0g 203120  36612 S   0.7   0.8   3:31.85 fastx3
   1639 splunkf+  20   0  429724 214928  66792 S   0.5   0.9   1:29.53 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.07 /opt/saltstack/
 253950 nathan37  20   0 1394.1g 212432 136632 S   0.5   0.9   0:11.14 code
 254532 nathan37  20   0 1409.9g 118640  81720 S   0.5   0.5   0:08.73 code
 249456 nathan37  20   0  712888  54564  39508 S   0.4   0.2   0:18.72 gnome-terminal-
   1920 zabbix    20   0 2436588  35784  19576 S   0.3   0.1   1:38.79 zabbix_agent2
 254405 nathan37  20   0 1393.9g 278680  86376 S   0.2   1.1   0:10.64 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.79 top
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.39 rcu_preempt
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 267168 161272 S  46.2   1.1   3:39.84 code
 248687 nathan37  20   0 6492060 361952 145908 S  10.9   1.5   5:11.84 gnome-shell
 308004 nathan37  20   0  235136   7468   4360 R   6.8   0.0   1:07.48 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:48.92 htop
 254213 nathan37  20   0 1394.2g 472012 192364 S   4.6   1.9   1:13.72 code
 248116 nathan37  20   0 4183092 194880  62148 S   3.8   0.8   2:14.76 Xorg
   1076 root      20   0 2694144 668560 347620 S   1.4   2.8  11:48.90 falcon-sensor-b
 254532 nathan37  20   0 1409.9g 119280  81720 S   0.7   0.5   0:08.80 code
   1337 fastx     20   0   11.0g 201084  36612 S   0.6   0.8   3:31.91 fastx3
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.12 /opt/saltstack/
 253950 nathan37  20   0 1394.1g 212660 136632 S   0.5   0.9   0:11.19 code
 249456 nathan37  20   0  712760  54584  39508 S   0.4   0.2   0:18.76 gnome-terminal-
 254405 nathan37  20   0 1393.9g 278692  86376 S   0.4   1.1   0:10.68 code
   1920 zabbix    20   0 2436588  36412  19576 S   0.3   0.1   1:38.82 zabbix_agent2
 331537 nathan37  20   0 1675720 942960 513468 S   0.2   3.9   0:08.72 vivado
     63 root      20   0       0      0      0 S   0.1   0.0   0:00.28 ksoftirqd/7
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:28.99 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 270544 164580 S  58.5   1.1   3:45.71 code
 248687 nathan37  20   0 6492060 361952 145908 S  20.2   1.5   5:13.87 gnome-shell
 254213 nathan37  20   0 1394.2g 468004 195924 S  11.5   1.9   1:14.87 code
 334301 root      20   0  437752  59716  17948 S   9.8   0.2   0:00.98 SetroubleshootP
 334259 setroub+  25   5  544708  85904  23208 S   8.2   0.4   0:00.82 setroubleshootd
 248116 nathan37  20   0 4183092 194880  62148 S   6.9   0.8   2:15.45 Xorg
 308004 nathan37  20   0  235136   7468   4360 S   6.5   0.0   1:08.13 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.1   0.0   1:49.53 htop
   1076 root      20   0 2694144 668424 347620 S   4.0   2.7  11:49.30 falcon-sensor-b
   1337 fastx     20   0   11.0g 201464  36612 S   3.9   0.8   3:32.30 fastx3
 248115 nathan37  20   0  319260  93788   6072 S   2.0   0.4   0:25.53 FastX monitor 1
      1 root      20   0  176612  19328  11352 S   1.6   0.1   2:08.57 systemd
 253950 nathan37  20   0 1394.1g 212792 136632 S   0.9   0.9   0:11.28 code
   1143 dbus      20   0    8436   6272   2564 S   0.5   0.0   0:33.35 dbus-broker
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.17 /opt/saltstack/
 249456 nathan37  20   0  712760  54696  39508 S   0.5   0.2   0:18.81 gnome-terminal-
 254532 nathan37  20   0 1409.9g 119224  81720 S   0.4   0.5   0:08.84 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361956 145908 S  18.4   1.5   5:15.72 gnome-shell
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   1:08.73 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:50.12 htop
 248116 nathan37  20   0 4183092 194880  62148 S   4.6   0.8   2:15.91 Xorg
 254147 nathan37  20   0   33.1g 267184 161216 S   2.4   1.1   3:45.95 code
 254213 nathan37  20   0 1394.2g 464856 192448 S   2.3   1.9   1:15.10 code
   1076 root      20   0 2694144 668420 347620 S   0.8   2.7  11:49.38 falcon-sensor-b
   1639 splunkf+  20   0  429724 214316  66792 S   0.8   0.9   1:29.62 splunkd
   1337 fastx     20   0   11.0g 201152  36612 S   0.7   0.8   3:32.37 fastx3
   2282 root      20   0 1572172  97592  17964 S   0.6   0.4   4:11.23 /opt/saltstack/
 249456 nathan37  20   0  712760  54696  39508 S   0.4   0.2   0:18.85 gnome-terminal-
   1920 zabbix    20   0 2436588  36436  19576 S   0.3   0.1   1:38.87 zabbix_agent2
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.85 top
   1672 apache    20   0 2180672   8188   4456 S   0.2   0.0   0:05.93 httpd
 253950 nathan37  20   0 1394.1g 212804 136632 S   0.2   0.9   0:11.30 code
      1 root      20   0  176612  19328  11352 S   0.1   0.1   2:08.58 systemd
   1456 root      20   0  476764  11024   9304 S   0.1   0.0   0:00.68 accounts-daemon
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   6.9   0.0   1:50.81 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   1:09.32 htop
 248687 nathan37  20   0 6492060 361956 145908 S   3.4   1.5   5:16.06 gnome-shell
 248116 nathan37  20   0 4183092 194880  62148 S   1.0   0.8   2:16.01 Xorg
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.28 /opt/saltstack/
   1639 splunkf+  20   0  429724 215136  66792 S   0.4   0.9   1:29.66 splunkd
   1076 root      20   0 2694144 668412 347620 S   0.3   2.7  11:49.41 falcon-sensor-b
   1337 fastx     20   0   11.0g 200880  36612 S   0.3   0.8   3:32.40 fastx3
 249456 nathan37  20   0  712760  54696  39508 S   0.3   0.2   0:18.88 gnome-terminal-
 254213 nathan37  20   0 1394.2g 464852 192448 S   0.3   1.9   1:15.13 code
 254532 nathan37  20   0 1409.9g 119220  81720 S   0.2   0.5   0:08.87 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.41 rcu_preempt
     33 root      20   0       0      0      0 S   0.1   0.0   0:00.39 ksoftirqd/2
    886 root      20   0   41092  15556   9756 S   0.1   0.1   0:01.95 systemd-udevd
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:29.01 vmtoolsd
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.22 fail2ban-server
   1920 zabbix    20   0 2436588  35068  19576 S   0.1   0.1   1:38.88 zabbix_agent2
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 334892 root      20   0  437428  59412  17980 S   9.9   0.2   0:00.99 SetroubleshootP
 248687 nathan37  20   0 6492060 361952 145908 S   9.8   1.5   5:17.04 gnome-shell
 334867 setroub+  25   5  544708  85984  23296 S   8.1   0.4   0:00.81 setroubleshootd
 308004 nathan37  20   0  235136   7468   4360 R   6.7   0.0   1:09.99 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.0   0.0   1:51.41 htop
 254147 nathan37  20   0   33.1g 267592 161604 S   3.7   1.1   3:46.33 code
 248116 nathan37  20   0 4183092 194880  62148 S   2.9   0.8   2:16.30 Xorg
 254213 nathan37  20   0 1394.2g 468328 193140 S   2.1   1.9   1:15.34 code
 248115 nathan37  20   0  319260  93788   6072 S   1.9   0.4   0:25.72 FastX monitor 1
   1076 root      20   0 2694144 668444 347620 S   1.3   2.7  11:49.54 falcon-sensor-b
   1337 fastx     20   0   11.0g 202644  36612 S   0.8   0.8   3:32.48 fastx3
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.33 /opt/saltstack/
 249456 nathan37  20   0  712760  54696  39508 S   0.3   0.2   0:18.91 gnome-terminal-
 253950 nathan37  20   0 1394.1g 212904 136632 S   0.3   0.9   0:11.33 code
   1920 zabbix    20   0 2436588  35672  19576 S   0.2   0.1   1:38.90 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:05.35 vmtoolsd
 254532 nathan37  20   0 1409.9g 119184  81720 S   0.2   0.5   0:08.89 code
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 269416 163196 S 118.9   1.1   3:58.26 code
 248687 nathan37  20   0 6492060 361952 145908 S  19.5   1.5   5:19.00 gnome-shell
 254213 nathan37  20   0 1394.2g 470912 194408 S  12.0   1.9   1:16.54 code
 248116 nathan37  20   0 4183092 194880  62148 S   8.3   0.8   2:17.13 Xorg
 308004 nathan37  20   0  235136   7468   4360 S   6.3   0.0   1:10.62 htop
 296021 nathan37  20   0  235160   7468   4380 S   6.1   0.0   1:52.02 htop
   1076 root      20   0 2694144 668380 347620 S   5.4   2.7  11:50.08 falcon-sensor-b
 253950 nathan37  20   0 1394.1g 213080 136632 S   1.6   0.9   0:11.49 code
   1337 fastx     20   0   11.0g 202932  36612 S   1.2   0.8   3:32.60 fastx3
 254532 nathan37  20   0 1409.9g 120072  81720 S   1.1   0.5   0:09.00 code
   1639 splunkf+  20   0  429724 214672  66792 S   0.5   0.9   1:29.72 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.38 /opt/saltstack/
 249456 nathan37  20   0  712888  54508  39508 S   0.5   0.2   0:18.96 gnome-terminal-
   1920 zabbix    20   0 2436588  36728  19576 S   0.4   0.2   1:38.94 zabbix_agent2
 254405 nathan37  20   0 1393.9g 278884  86376 S   0.3   1.1   0:10.74 code
 254433 nathan37  20   0 1393.9g 127048  76200 S   0.2   0.5   0:02.68 code
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.90 top
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 267712 161688 S  47.8   1.1   4:03.05 code
 248687 nathan37  20   0 6492060 361952 145908 S   7.7   1.5   5:19.77 gnome-shell
 308004 nathan37  20   0  235136   7468   4360 S   6.0   0.0   1:11.22 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:52.61 htop
 254213 nathan37  20   0 1394.2g 468892 192792 S   4.4   1.9   1:16.98 code
 248116 nathan37  20   0 4183092 194892  62148 S   4.0   0.8   2:17.53 Xorg
   1337 fastx     20   0   11.0g 198764  36612 S   3.2   0.8   3:32.92 fastx3
 253950 nathan37  20   0 1394.1g 212468 136632 S   1.4   0.9   0:11.63 code
   1076 root      20   0 2694144 668392 347620 S   0.9   2.7  11:50.17 falcon-sensor-b
   1639 splunkf+  20   0  429724 215064  66792 S   0.5   0.9   1:29.77 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.43 /opt/saltstack/
 249456 nathan37  20   0  712920  54656  39508 S   0.4   0.2   0:19.00 gnome-terminal-
 254532 nathan37  20   0 1409.9g 119600  81720 S   0.3   0.5   0:09.03 code
   1920 zabbix    20   0 2436588  36532  19576 S   0.2   0.2   1:38.96 zabbix_agent2
 248779 nathan37  20   0  161700   8436   7536 S   0.2   0.0   0:00.40 at-spi2-registr
 254405 nathan37  20   0 1393.9g 278720  86376 S   0.2   1.1   0:10.76 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.42 rcu_preempt
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 271556 165816 S  72.1   1.1   4:10.28 code
 248687 nathan37  20   0 6492060 361952 145908 S  36.8   1.5   5:23.46 gnome-shell
 254213 nathan37  20   0 1394.2g 469908 194928 R  12.9   1.9   1:18.27 code
 248116 nathan37  20   0 4183092 194900  62148 S  10.5   0.8   2:18.58 Xorg
 296021 nathan37  20   0  235160   7468   4380 S   7.1   0.0   1:53.32 htop
 308004 nathan37  20   0  235136   7468   4360 S   6.1   0.0   1:11.83 htop
   1076 root      20   0 2694144 668264 347620 S   2.1   2.7  11:50.38 falcon-sensor-b
   1337 fastx     20   0   11.0g 199052  36612 S   1.6   0.8   3:33.08 fastx3
      1 root      20   0  176612  19328  11352 S   1.5   0.1   2:08.75 systemd
 253950 nathan37  20   0 1394.1g 212584 136632 S   1.5   0.9   0:11.78 code
   2282 root      20   0 1572172  97592  17964 S   0.6   0.4   4:11.49 /opt/saltstack/
   1143 dbus      20   0    8436   6272   2564 S   0.4   0.0   0:33.40 dbus-broker
 249456 nathan37  20   0  712760  54516  39508 S   0.4   0.2   0:19.04 gnome-terminal-
   1920 zabbix    20   0 2436588  35336  19576 S   0.3   0.1   1:38.99 zabbix_agent2
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.94 top
   1375 root      20   0  908576  23576  11516 S   0.2   0.1   0:27.25 fail2ban-server
   1639 splunkf+  20   0  429724 214288  66792 S   0.2   0.9   1:29.79 splunkd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361952 145908 S  10.3   1.5   5:24.49 gnome-shell
 336675 root      20   0  437424  59524  18092 S   9.8   0.2   0:00.98 SetroubleshootP
 336645 setroub+  25   5  544708  85944  23248 S   8.3   0.4   0:00.83 setroubleshootd
 296021 nathan37  20   0  235160   7468   4380 S   6.1   0.0   1:53.93 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   1:12.42 htop
   1337 fastx     20   0   11.0g 200568  36612 S   3.0   0.8   3:33.38 fastx3
 248116 nathan37  20   0 4183092 194900  62148 S   3.0   0.8   2:18.88 Xorg
 254213 nathan37  20   0 1394.2g 466836 193188 S   2.2   1.9   1:18.49 code
 248115 nathan37  20   0  319260  93788   6072 S   2.0   0.4   0:25.92 FastX monitor 1
   1076 root      20   0 2694144 668212 347620 S   1.6   2.7  11:50.54 falcon-sensor-b
 254147 nathan37  20   0   33.1g 268224 162964 S   1.3   1.1   4:10.41 code
   1639 splunkf+  20   0  429724 214348  66792 S   0.5   0.9   1:29.84 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.54 /opt/saltstack/
 249456 nathan37  20   0  712768  54388  39508 S   0.4   0.2   0:19.08 gnome-terminal-
   1920 zabbix    20   0 2436588  36032  19576 S   0.2   0.1   1:39.01 zabbix_agent2
 254532 nathan37  20   0 1409.9g 119644  81720 S   0.2   0.5   0:09.06 code
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.43 rcu_preempt
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 308004 nathan37  20   0  235136   7468   4360 S   7.0   0.0   1:13.12 htop
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:54.52 htop
 248687 nathan37  20   0 6492060 361952 145908 S   4.0   1.5   5:24.89 gnome-shell
 248116 nathan37  20   0 4183092 194900  62148 S   1.0   0.8   2:18.98 Xorg
   1639 splunkf+  20   0  429724 215204  66792 S   0.5   0.9   1:29.89 splunkd
   2282 root      20   0 1572172  97592  17964 S   0.5   0.4   4:11.59 /opt/saltstack/
   1076 root      20   0 2694144 668232 347620 S   0.4   2.7  11:50.58 falcon-sensor-b
 254213 nathan37  20   0 1394.2g 466496 193108 S   0.4   1.9   1:18.53 code
   1337 fastx     20   0   11.0g 201068  36612 S   0.3   0.8   3:33.41 fastx3
 249456 nathan37  20   0  712536  54396  39508 S   0.3   0.2   0:19.11 gnome-terminal-
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.98 top
      1 root      20   0  176612  19328  11352 S   0.2   0.1   2:08.77 systemd
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:05.41 vmtoolsd
 249319 nathan37  20   0  737948  28568  22712 S   0.2   0.1   0:00.86 xdg-desktop-por
   1168 root      20   0  460996  12516   8020 S   0.1   0.1   0:29.05 vmtoolsd
   1418 root      20   0   30780  13080  10244 S   0.1   0.1   0:01.57 httpd
   1671 apache    20   0 2246208   8188   4452 S   0.1   0.0   0:05.94 httpd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 296021 nathan37  20   0  235160   7468   4380 S   5.9   0.0   1:55.11 htop
 308004 nathan37  20   0  235136   7468   4360 S   5.9   0.0   1:13.71 htop
 248687 nathan37  20   0 6492060 361952 145908 S   3.5   1.5   5:25.24 gnome-shell
