    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.59 /opt/saltstack/
   1920 zabbix    20   0 2436588  37008  19576 S   0.3   0.2   1:37.94 zabbix_agent2
 249456 nathan37  20   0  712888  54568  39504 S   0.3   0.2   0:17.32 gnome-terminal-
 254405 nathan37  20   0 1393.9g 276812  86376 S   0.2   1.1   0:10.10 code
 258013 nathan37  20   0 4253404 125376  15768 S   0.2   0.5   0:01.00 cpptools-srv
     33 root      20   0       0      0      0 S   0.1   0.0   0:00.35 ksoftirqd/2
     69 root      20   0       0      0      0 S   0.1   0.0   0:00.37 ksoftirqd/8
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 308004 nathan37  20   0  235136   7444   4360 S   5.9   0.0   0:45.02 htop
 296021 nathan37  20   0  235160   7448   4380 S   5.8   0.0   1:26.27 htop
 248687 nathan37  20   0 6492060 361204 145908 S   2.4   1.5   4:35.60 gnome-shell
 248116 nathan37  20   0 4183092 194856  62144 S   0.7   0.8   2:03.29 Xorg
   1076 root      20   0 2694144 668688 347620 S   0.5   2.8  11:41.64 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.64 /opt/saltstack/
   1337 fastx     20   0   11.0g 199072  36612 S   0.3   0.8   3:26.98 fastx3
 249456 nathan37  20   0  712888  54568  39504 S   0.3   0.2   0:17.35 gnome-terminal-
 254213 nathan37  20   0 1395.8g 445184 168272 S   0.3   1.8   1:00.18 code
 254532 nathan37  20   0 1409.9g 116956  81656 S   0.3   0.5   0:07.75 code
   1920 zabbix    20   0 2436588  34640  19576 S   0.2   0.1   1:37.96 zabbix_agent2
   2215 gdm       20   0 5768736 242264 119768 S   0.2   1.0   0:14.16 gnome-shell
 322194 nathan37  20   0  235308   4972   3776 R   0.2   0.0   0:00.14 top
     17 root      20   0       0      0      0 I   0.1   0.0   0:08.22 rcu_preempt
   1375 root      20   0  908576  23576  11516 S   0.1   0.1   0:27.00 fail2ban-server
 249013 root      20   0  454972  64048  29712 S   0.1   0.3   0:00.97 rhsm-service
 249033 nathan37  20   0  397880  40356  33360 S   0.1   0.2   0:04.82 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 324185 root      20   0  437448  59616  18048 S   9.8   0.2   0:00.98 SetroubleshootP
 324161 setroub+  25   5  544708  85988  23292 S   8.2   0.4   0:00.82 setroubleshootd
 296021 nathan37  20   0  235160   7448   4380 S   6.2   0.0   1:26.89 htop
 308004 nathan37  20   0  235136   7444   4360 S   6.2   0.0   0:45.64 htop
 248115 nathan37  20   0  319260  93788   6072 S   5.1   0.4   0:22.43 FastX monitor 1
   1076 root      20   0 2694144 667972 347620 S   3.3   2.7  11:41.97 falcon-sensor-b
   1337 fastx     20   0   11.0g 200312  36612 S   3.3   0.8   3:27.31 fastx3
 248687 nathan37  20   0 6492060 361204 145908 S   1.8   1.5   4:35.78 gnome-shell
      1 root      20   0  176612  19328  11352 S   1.6   0.1   2:07.20 systemd
 248116 nathan37  20   0 4183092 194856  62144 S   0.7   0.8   2:03.36 Xorg
   1639 splunkf+  20   0  429724 214944  66792 S   0.6   0.9   1:28.44 splunkd
   1143 dbus      20   0    8436   6272   2564 S   0.5   0.0   0:33.06 dbus-broker
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.69 /opt/saltstack/
 254213 nathan37  20   0 1395.8g 444968 168272 S   0.4   1.8   1:00.22 code
   1920 zabbix    20   0 2436588  36236  19576 S   0.3   0.1   1:37.99 zabbix_agent2
 249456 nathan37  20   0  712888  54576  39504 S   0.3   0.2   0:17.38 gnome-terminal-
   1168 root      20   0  460996  12516   8020 S   0.2   0.1   0:28.76 vmtoolsd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 254147 nathan37  20   0   33.1g 247100 144064 S  93.6   1.0   2:50.61 code
 248687 nathan37  20   0 6492060 361204 145908 S  22.4   1.5   4:38.03 gnome-shell
 254213 nathan37  20   0 1395.9g 447560 175176 S  13.8   1.8   1:01.60 code
 248116 nathan37  20   0 4183092 194856  62144 S   8.9   0.8   2:04.25 Xorg
 296021 nathan37  20   0  235160   7448   4380 S   7.0   0.0   1:27.59 htop
 308004 nathan37  20   0  235136   7444   4360 S   6.1   0.0   0:46.25 htop
   1337 fastx     20   0   11.0g 200684  36612 S   1.7   0.8   3:27.48 fastx3
 253950 nathan37  20   0 1394.1g 216000 136632 S   1.5   0.9   0:09.86 code
   1076 root      20   0 2694144 667968 347620 S   0.5   2.7  11:42.02 falcon-sensor-b
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.74 /opt/saltstack/
 249456 nathan37  20   0  712888  54576  39504 S   0.3   0.2   0:17.41 gnome-terminal-
 254405 nathan37  20   0 1393.9g 276764  86376 S   0.3   1.1   0:10.14 code
 322194 nathan37  20   0  235308   4972   3776 R   0.3   0.0   0:00.18 top
   1639 splunkf+  20   0  429724 214944  66792 S   0.2   0.9   1:28.46 splunkd
   1920 zabbix    20   0 2436588  34520  19576 S   0.2   0.1   1:38.01 zabbix_agent2
 254532 nathan37  20   0 1409.9g 116964  81656 S   0.2   0.5   0:07.79 code
      1 root      20   0  176612  19328  11352 S   0.1   0.1   2:07.21 systemd
--
    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 248687 nathan37  20   0 6492060 361208 145908 S  35.5   1.5   4:41.59 gnome-shell
 248116 nathan37  20   0 4183092 194856  62144 S   8.8   0.8   2:05.13 Xorg
 254213 nathan37  20   0 1395.8g 445456 172664 S   8.8   1.8   1:02.48 code
 254147 nathan37  20   0   33.1g 244200 142516 S   7.6   1.0   2:51.37 code
 308004 nathan37  20   0  235136   7444   4360 S   7.1   0.0   0:46.96 htop
 296021 nathan37  20   0  235160   7448   4380 S   6.0   0.0   1:28.19 htop
   1076 root      20   0 2694144 667936 347620 S   0.9   2.7  11:42.11 falcon-sensor-b
   1337 fastx     20   0   11.0g 200256  36612 S   0.9   0.8   3:27.57 fastx3
   2282 root      20   0 1573228  97672  17964 S   0.5   0.4   4:08.79 /opt/saltstack/
   1639 splunkf+  20   0  429724 214888  66792 S   0.4   0.9   1:28.50 splunkd
 249456 nathan37  20   0  712248  54236  39504 S   0.4   0.2   0:17.45 gnome-terminal-
 253950 nathan37  20   0 1394.1g 215964 136632 S   0.3   0.9   0:09.89 code
   1920 zabbix    20   0 2436588  35220  19576 S   0.2   0.1   1:38.03 zabbix_agent2
 249033 nathan37  20   0  397880  40356  33360 S   0.2   0.2   0:04.87 vmtoolsd
